Date,Open,High,Low,Close
08/28/2020,"28,601.29","28,733.35","28,487.98","28,653.87"
08/27/2020,"28,384.07","28,634.22","28,363.93","28,492.27"
08/26/2020,"28,257.88","28,353.80","28,153.91","28,331.92"
08/25/2020,"28,347.42","28,400.74","28,094.57","28,248.44"
08/24/2020,"28,077.58","28,314.94","28,041.75","28,308.46"
08/21/2020,"27,758.13","27,959.48","27,686.78","27,930.33"
08/20/2020,"27,622.68","27,781.46","27,526.25","27,739.73"
08/19/2020,"27,811.26","27,920.42","27,647.67","27,692.88"
08/18/2020,"27,853.48","27,891.12","27,668.79","27,778.07"
08/17/2020,"27,970.05","27,999.81","27,816.40","27,844.91"
08/14/2020,"27,828.93","27,977.81","27,759.39","27,931.02"
08/13/2020,"27,922.51","27,986.10","27,789.78","27,896.72"
08/12/2020,"27,860.24","28,043.89","27,843.32","27,976.84"
08/11/2020,"27,961.64","28,154.88","27,624.51","27,686.91"
08/10/2020,"27,488.21","27,803.86","27,488.21","27,791.44"
08/07/2020,"27,321.68","27,456.24","27,223.55","27,433.48"
08/06/2020,"27,170.82","27,394.10","27,145.25","27,386.98"
08/05/2020,"26,924.78","27,221.67","26,924.78","27,201.52"
08/04/2020,"26,664.61","26,832.72","26,597.82","26,828.47"
08/03/2020,"26,542.32","26,707.26","26,534.38","26,664.40"
07/31/2020,"26,409.33","26,440.02","26,013.59","26,428.32"
07/30/2020,"26,367.42","26,374.93","25,992.28","26,313.65"
07/29/2020,"26,388.44","26,602.45","26,375.39","26,539.57"
07/28/2020,"26,529.45","26,556.84","26,361.71","26,379.28"
07/27/2020,"26,447.67","26,625.46","26,426.92","26,584.77"
07/24/2020,"26,533.41","26,625.70","26,402.86","26,469.89"
07/23/2020,"26,955.97","26,973.85","26,560.04","26,652.33"
07/22/2020,"26,824.56","27,035.24","26,794.19","27,005.84"
07/21/2020,"26,833.14","27,025.38","26,766.22","26,840.40"
07/20/2020,"26,660.29","26,765.02","26,504.20","26,680.87"
07/17/2020,"26,774.62","26,808.43","26,619.88","26,671.95"
07/16/2020,"26,746.57","26,879.16","26,590.01","26,734.71"
07/15/2020,"27,009.81","27,071.33","26,692.48","26,870.10"
07/14/2020,"26,044.17","26,690.52","25,994.98","26,642.59"
07/13/2020,"26,225.07","26,639.09","26,044.23","26,085.80"
07/10/2020,"25,690.35","26,101.32","25,637.50","26,075.30"
07/09/2020,"26,094.92","26,103.28","25,523.51","25,706.09"
07/08/2020,"25,950.06","26,109.49","25,816.25","26,067.28"
07/07/2020,"26,172.01","26,174.93","25,866.58","25,890.18"
07/06/2020,"25,996.08","26,297.53","25,996.08","26,287.03"
07/02/2020,"25,936.45","26,204.41","25,778.12","25,827.36"
07/01/2020,"25,879.38","26,019.31","25,713.61","25,734.97"
06/30/2020,"25,512.43","25,905.38","25,475.14","25,812.88"
06/29/2020,"25,152.45","25,601.15","25,096.16","25,595.80"
06/26/2020,"25,641.69","25,641.69","24,971.03","25,015.55"
06/25/2020,"25,365.22","25,769.61","25,209.79","25,745.60"
06/24/2020,"25,992.96","25,992.96","25,296.73","25,445.94"
06/23/2020,"26,159.39","26,314.97","26,105.97","26,156.10"
06/22/2020,"25,865.08","26,059.81","25,667.68","26,024.96"
06/19/2020,"26,213.10","26,451.44","25,759.66","25,871.46"
06/18/2020,"26,016.45","26,154.20","25,848.53","26,080.10"
06/17/2020,"26,330.52","26,400.07","26,068.41","26,119.61"
06/16/2020,"26,326.68","26,611.03","25,811.70","26,289.98"
06/15/2020,"25,270.39","25,891.58","24,843.18","25,763.16"
06/12/2020,"25,659.42","25,965.55","25,078.41","25,605.54"
06/11/2020,"26,282.51","26,294.08","25,082.72","25,128.17"
06/10/2020,"27,251.89","27,355.22","26,938.05","26,989.99"
06/09/2020,"27,447.37","27,447.37","27,151.06","27,272.30"
06/08/2020,"27,232.93","27,580.21","27,232.48","27,572.44"
06/05/2020,"26,836.80","27,338.30","26,836.80","27,110.98"
06/04/2020,"26,226.49","26,384.10","26,082.31","26,281.82"
06/03/2020,"25,906.88","26,337.75","25,906.88","26,269.89"
06/02/2020,"25,582.52","25,743.13","25,523.74","25,742.65"
06/01/2020,"25,342.99","25,508.83","25,220.66","25,475.02"
05/29/2020,"25,324.15","25,482.80","25,031.67","25,383.11"
05/28/2020,"25,697.36","25,758.79","25,358.73","25,400.64"
05/27/2020,"25,298.63","25,551.56","25,009.87","25,548.27"
05/26/2020,"24,781.84","25,176.42","24,781.84","24,995.11"
05/22/2020,"24,461.98","24,481.64","24,294.07","24,465.16"
05/21/2020,"24,564.27","24,718.46","24,370.88","24,474.12"
