Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,106.000000,107.750000,101.360001,107.400002,100.925713,9047500
2019-10-24,107.500000,108.209999,106.250000,107.839996,101.339188,3304500
2019-10-25,108.080002,110.589996,107.540001,110.199997,103.556938,4234600
2019-10-28,110.620003,113.190002,110.620003,112.989998,106.178764,4168500
2019-10-29,112.500000,112.809998,111.500000,111.669998,104.938316,2987800
2019-10-30,111.370003,113.209999,111.260002,112.720001,105.925026,2424700
2019-10-31,112.360001,114.669998,112.000000,113.949997,107.080872,4124400
2019-11-01,114.070000,114.510002,112.309998,112.510002,105.727676,2629100
2019-11-04,113.239998,114.330002,112.870003,113.110001,106.291519,3002100
2019-11-05,112.949997,113.080002,110.510002,111.250000,104.543633,3357300
2019-11-06,111.570000,114.290001,111.510002,113.820000,106.958717,3973700
2019-11-07,114.230003,114.629997,112.029999,112.769997,105.972008,3076200
2019-11-08,112.650002,113.570000,112.099998,113.529999,106.686211,2224100
2019-11-11,113.459999,114.209999,112.220001,112.800003,106.000191,1770200
2019-11-12,112.769997,114.040001,112.449997,113.169998,106.347916,2273200
2019-11-13,112.870003,113.529999,112.250000,112.790001,105.990814,3250600
2019-11-14,112.190002,112.360001,111.000000,111.389999,105.277245,2627100
2019-11-15,111.330002,113.820000,111.330002,113.190002,106.978462,4857400
2019-11-18,113.019997,114.129997,112.860001,114.070000,107.810165,3361600
2019-11-19,114.029999,116.120003,113.750000,115.099998,108.783638,3781600
2019-11-20,114.959999,115.919998,114.050003,114.610001,108.320534,3638200
2019-11-21,114.699997,115.519997,113.290001,114.750000,108.452850,2909500
2019-11-22,115.089996,116.680000,114.709999,116.199997,109.823280,3120100
2019-11-25,116.599998,118.459999,116.599998,117.470001,111.023582,2939300
2019-11-26,117.470001,118.110001,117.000000,117.089996,110.664421,4704900
2019-11-27,117.730003,117.900002,116.620003,117.440002,110.995239,1798200
2019-11-29,117.230003,118.040001,117.169998,117.349998,110.910156,1243900
2019-12-02,117.519997,118.250000,116.099998,116.739998,110.333649,2199700
2019-12-03,116.400002,117.919998,115.919998,117.610001,111.155922,2786000
2019-12-04,118.279999,118.839996,117.570000,118.669998,112.157738,2597000
2019-12-05,118.400002,119.919998,117.540001,119.769997,113.197365,3003200
2019-12-06,119.970001,120.709999,119.580002,119.639999,113.074516,2462800
2019-12-09,119.529999,120.839996,118.940002,120.239998,113.641571,2335100
2019-12-10,120.559998,121.150002,120.110001,120.650002,114.029083,3592600
2019-12-11,120.559998,121.199997,119.980003,120.779999,114.151939,3438100
2019-12-12,120.559998,121.930000,120.559998,121.699997,115.021461,2959400
2019-12-13,121.980003,122.190002,120.720001,121.529999,114.860779,3343900
2019-12-16,123.070000,124.260002,122.059998,122.849998,116.108345,3468400
2019-12-17,124.000000,127.029999,123.309998,125.330002,118.452248,6718800
2019-12-18,127.879997,129.979996,127.690002,129.479996,122.374519,8173000
2019-12-19,129.080002,130.990005,128.339996,130.850006,123.669334,4423400
2019-12-20,132.490005,137.000000,131.240005,132.429993,125.162621,9229900
2019-12-23,132.389999,132.580002,131.029999,131.149994,123.952843,2473400
2019-12-24,131.070007,131.210007,130.130005,131.110001,123.915062,1215800
2019-12-26,131.000000,131.699997,130.660004,131.139999,123.943398,1272000
2019-12-27,131.570007,131.770004,130.839996,131.520004,124.302551,2161300
2019-12-30,131.520004,131.929993,130.869995,131.300003,124.094612,1856200
2019-12-31,131.179993,131.520004,130.500000,131.429993,124.217491,1549800
2020-01-02,131.770004,132.259995,130.729996,132.210007,124.954712,2204200
2020-01-03,130.300003,132.470001,130.229996,131.770004,124.538834,1963500
2020-01-06,131.419998,132.559998,130.940002,132.259995,125.001938,2102900
2020-01-07,131.699997,132.929993,131.699997,132.509995,125.238220,2448300
2020-01-08,132.460007,134.210007,132.009995,133.710007,126.372383,5188600
2020-01-09,134.550003,136.360001,134.009995,135.919998,128.461075,4522800
2020-01-10,135.779999,138.270004,135.529999,138.000000,130.426956,4177600
