Date,Open,High,Low,Close,Adj Close,Volume
2019-12-10,137.610001,137.610001,136.169998,136.270004,122.732231,2940200
2019-12-11,137.050003,137.539993,136.320007,137.100006,123.479790,3339100
2019-12-12,136.800003,137.899994,136.750000,137.179993,123.551819,3502100
2019-12-13,136.929993,138.250000,136.190002,137.940002,124.236343,3557900
2019-12-16,136.949997,137.520004,136.160004,137.059998,123.443756,4701000
2019-12-17,137.050003,137.440002,135.690002,136.169998,122.642174,5491800
2019-12-18,137.050003,137.300003,135.630005,135.970001,122.462059,5370500
2019-12-19,136.220001,136.740005,135.949997,136.470001,122.912384,3641700
2019-12-20,137.410004,138.130005,135.160004,137.919998,124.218315,10311300
2019-12-23,137.690002,138.130005,136.839996,137.039993,123.425735,2992900
2019-12-24,137.089996,137.380005,136.270004,136.889999,123.290642,1220600
2019-12-26,136.860001,137.339996,136.100006,136.690002,123.110535,2934700
2019-12-27,136.880005,137.580002,136.630005,137.539993,123.876068,2554000
2019-12-30,136.699997,137.970001,136.479996,136.809998,123.218597,3024700
2019-12-31,136.690002,137.259995,136.029999,136.669998,123.092491,3229400
2020-01-02,136.869995,137.229996,135.139999,135.820007,122.326958,3784100
2020-01-03,135.460007,136.789993,135.130005,135.630005,122.155807,4000100
2020-01-06,135.300003,136.320007,135.199997,136.149994,122.624146,4085100
2020-01-07,136.000000,136.070007,133.949997,134.009995,120.696747,5718100
2020-01-08,134.460007,135.360001,134.070007,134.699997,121.318230,3681400
2020-01-09,135.289993,135.380005,134.529999,134.789993,121.399254,3954700
2020-01-10,135.169998,135.419998,134.389999,134.529999,121.165100,3099500
2020-01-13,134.649994,136.589996,134.630005,136.529999,122.966400,5127200
2020-01-14,136.179993,136.940002,135.699997,136.850006,123.254616,4159700
2020-01-15,137.039993,139.250000,136.800003,139.199997,125.371124,5002600
2020-01-16,139.350006,140.160004,138.600006,139.610001,125.740417,4977900
2020-01-17,140.100006,141.320007,139.899994,141.259995,127.226471,6908700
2020-01-21,140.610001,142.119995,140.339996,141.860001,127.766884,4440000
2020-01-22,141.809998,143.570007,141.720001,143.380005,129.135880,5366100
2020-01-23,143.089996,143.850006,142.369995,143.649994,129.379059,3915700
2020-01-24,143.830002,144.149994,142.449997,142.919998,128.721603,2791500
2020-01-27,141.649994,143.360001,141.050003,142.139999,128.019073,3895300
2020-01-28,142.130005,142.919998,141.759995,142.440002,128.289276,2908300
2020-01-29,142.000000,142.449997,141.169998,141.729996,127.649818,3263200
2020-01-30,142.320007,143.960007,141.520004,143.830002,129.541199,4058500
2020-01-31,143.809998,144.649994,141.570007,142.020004,127.911003,4753100
2020-02-03,142.770004,143.070007,141.839996,142.509995,128.352325,3977800
2020-02-04,143.199997,144.059998,142.100006,143.220001,128.991821,3494300
2020-02-05,143.679993,144.589996,143.429993,144.300003,129.964508,3504900
2020-02-06,144.639999,145.300003,144.070007,144.330002,129.991516,3571400
2020-02-07,144.259995,145.720001,143.830002,145.369995,130.928162,3138500
2020-02-10,145.929993,146.419998,145.130005,145.660004,131.189423,3775600
2020-02-11,146.210007,146.360001,144.869995,146.080002,131.567673,3870500
2020-02-12,146.679993,146.740005,145.350006,146.080002,131.567673,4217400
2020-02-13,145.250000,147.130005,143.520004,146.470001,131.918900,5041400
2020-02-14,146.570007,147.149994,145.940002,146.990005,132.387253,3555600
2020-02-18,147.110001,147.199997,145.399994,145.600006,131.135345,4938700
2020-02-19,145.619995,146.479996,145.490005,145.529999,131.072296,2978800
2020-02-20,145.770004,145.800003,143.949997,145.160004,130.739075,2805900
2020-02-21,145.059998,145.919998,144.809998,145.850006,131.360504,4271800
2020-02-24,145.860001,147.149994,142.559998,142.639999,128.469406,5027700
