Date,Open,High,Low,Close
08/21/2019,"26,145.36","26,268.32","26,141.77","26,202.73"
08/20/2019,"26,086.86","26,160.12","25,952.00","25,962.44"
08/19/2019,"26,020.06","26,222.32","26,020.06","26,135.79"
08/16/2019,"25,678.17","25,929.65","25,678.17","25,886.01"
08/15/2019,"25,514.25","25,639.69","25,339.60","25,579.39"
08/14/2019,"26,035.08","26,035.08","25,471.59","25,479.42"
08/13/2019,"25,888.88","26,426.97","25,833.25","26,279.91"
08/12/2019,"26,169.91","26,178.95","25,824.94","25,907.37"
08/09/2019,"26,337.09","26,413.36","26,097.64","26,287.44"
08/08/2019,"26,086.52","26,383.61","26,038.10","26,378.19"
08/07/2019,"25,814.22","26,073.21","25,440.39","26,007.07"
08/06/2019,"25,810.62","26,038.68","25,710.87","26,029.52"
08/05/2019,"26,259.23","26,259.23","25,523.38","25,717.74"
08/02/2019,"26,528.66","26,570.02","26,249.22","26,485.01"
08/01/2019,"26,879.86","27,175.59","26,548.71","26,583.42"
07/31/2019,"27,244.67","27,281.65","26,719.60","26,864.27"
07/30/2019,"27,145.39","27,224.36","27,069.86","27,198.02"
07/29/2019,"27,192.24","27,275.85","27,178.06","27,221.35"
07/26/2019,"27,166.00","27,213.70","27,123.25","27,192.45"
07/25/2019,"27,247.39","27,298.43","27,062.48","27,140.98"
07/24/2019,"27,262.24","27,291.04","27,191.12","27,269.97"
07/23/2019,"27,231.86","27,368.81","27,204.58","27,349.19"
07/22/2019,"27,174.18","27,227.77","27,088.90","27,171.90"
07/19/2019,"27,246.38","27,342.96","27,145.78","27,154.20"
07/18/2019,"27,191.98","27,266.81","27,068.79","27,222.97"
07/17/2019,"27,320.91","27,343.06","27,218.38","27,219.85"
07/16/2019,"27,349.32","27,398.68","27,290.24","27,335.63"
07/15/2019,"27,364.69","27,364.69","27,294.17","27,359.16"
07/12/2019,"27,139.49","27,333.79","27,135.45","27,332.03"
07/11/2019,"26,950.16","27,088.45","26,916.32","27,088.08"
07/10/2019,"26,851.96","26,983.45","26,813.11","26,860.20"
07/09/2019,"26,725.12","26,807.70","26,665.57","26,783.49"
07/08/2019,"26,835.64","26,839.14","26,744.87","26,806.14"
07/05/2019,"26,867.75","26,950.81","26,733.33","26,922.12"
07/03/2019,"26,832.32","26,966.00","26,831.44","26,966.00"
07/02/2019,"26,719.53","26,787.56","26,632.65","26,786.68"
07/01/2019,"26,805.86","26,890.64","26,616.21","26,717.43"
06/28/2019,"26,605.93","26,638.35","26,522.27","26,599.96"
06/27/2019,"26,523.72","26,607.24","26,465.32","26,526.58"
06/26/2019,"26,599.42","26,660.04","26,536.33","26,536.82"
06/25/2019,"26,731.61","26,752.31","26,527.66","26,548.22"
06/24/2019,"26,727.61","26,806.52","26,723.37","26,727.54"
06/21/2019,"26,749.12","26,907.37","26,705.87","26,719.13"
