Date,Open,High,Low,Close
10/25/2023,"33,203.53","33,267.91","32,989.72","33,035.93"
10/24/2023,"33,089.64","33,272.19","32,988.43","33,141.38"
10/23/2023,"32,993.02","33,234.85","32,892.19","32,936.41"
10/20/2023,"33,365.27","33,425.77","33,118.12","33,127.28"
10/19/2023,"33,669.52","33,852.39","33,368.58","33,414.17"
10/18/2023,"33,960.25","33,991.51","33,598.64","33,665.08"
10/17/2023,"33,869.84","34,147.63","33,854.70","33,997.65"
10/16/2023,"33,832.42","34,088.98","33,832.42","33,984.54"
10/13/2023,"33,733.34","33,957.72","33,551.58","33,670.29"
10/12/2023,"33,845.65","33,863.80","33,455.60","33,631.14"
10/11/2023,"33,822.20","33,882.55","33,612.25","33,804.87"
10/10/2023,"33,683.41","33,898.22","33,604.32","33,739.30"
10/09/2023,"33,259.84","33,631.81","33,253.69","33,604.65"
10/06/2023,"33,040.70","33,557.69","32,846.94","33,407.58"
10/05/2023,"33,099.23","33,174.38","32,941.56","33,119.57"
10/04/2023,"33,034.18","33,156.45","32,873.23","33,129.55"
10/03/2023,"33,318.84","33,398.54","32,916.20","33,002.38"
10/02/2023,"33,455.50","33,511.91","33,219.56","33,433.35"
09/29/2023,"33,882.61","33,893.68","33,407.45","33,507.50"
09/28/2023,"33,519.44","33,777.90","33,473.50","33,666.34"
09/27/2023,"33,682.81","33,731.65","33,306.30","33,550.27"
09/26/2023,"33,862.68","33,879.93","33,569.60","33,618.88"
09/25/2023,"33,907.59","34,017.53","33,780.67","34,006.88"
09/22/2023,"34,077.08","34,156.15","33,947.24","33,963.84"
09/21/2023,"34,332.23","34,378.30","34,058.72","34,070.42"
09/20/2023,"34,575.50","34,776.28","34,434.29","34,440.88"
09/19/2023,"34,571.84","34,597.56","34,311.69","34,517.73"
09/18/2023,"34,612.29","34,725.06","34,545.35","34,624.30"
09/15/2023,"34,902.04","34,902.04","34,572.27","34,618.24"
09/14/2023,"34,687.50","34,977.97","34,687.50","34,907.11"
09/13/2023,"34,667.28","34,767.11","34,509.95","34,575.53"
09/12/2023,"34,620.02","34,852.61","34,560.55","34,645.99"
09/11/2023,"34,650.01","34,784.52","34,578.59","34,663.72"
09/08/2023,"34,487.41","34,627.85","34,473.57","34,576.59"
09/07/2023,"34,351.18","34,560.86","34,351.18","34,500.73"
09/06/2023,"34,611.68","34,611.68","34,291.56","34,443.19"
09/05/2023,"34,843.22","34,871.26","34,635.63","34,641.97"
09/01/2023,"34,876.24","34,979.18","34,720.70","34,837.71"
08/31/2023,"34,909.09","35,070.21","34,719.77","34,721.91"
08/30/2023,"34,847.80","35,025.57","34,811.74","34,890.24"
08/29/2023,"34,531.12","34,864.42","34,531.12","34,852.67"
08/28/2023,"34,441.64","34,652.91","34,441.64","34,559.98"
08/25/2023,"34,217.06","34,441.91","34,029.22","34,346.90"
08/24/2023,"34,439.83","34,694.68","34,093.65","34,099.42"
08/23/2023,"34,338.59","34,534.72","34,321.00","34,472.98"
08/22/2023,"34,494.17","34,514.04","34,256.84","34,288.83"
08/21/2023,"34,531.28","34,570.96","34,248.46","34,463.69"
08/18/2023,"34,368.36","34,587.07","34,263.19","34,500.66"
08/17/2023,"34,829.61","34,888.48","34,440.73","34,474.83"
08/16/2023,"34,914.96","35,133.56","34,757.37","34,765.74"
08/15/2023,"35,219.37","35,219.37","34,908.50","34,946.39"
08/14/2023,"35,273.89","35,335.45","35,169.97","35,307.63"
08/11/2023,"35,111.36","35,354.60","35,059.99","35,281.40"
08/10/2023,"35,231.54","35,578.58","35,107.60","35,176.15"
08/09/2023,"35,324.28","35,370.89","35,058.73","35,123.36"
08/08/2023,"35,345.40","35,346.64","35,007.41","35,314.49"
08/07/2023,"35,125.60","35,497.38","35,125.60","35,473.13"
08/04/2023,"35,230.13","35,506.88","35,033.76","35,065.62"
08/03/2023,"35,194.56","35,348.20","35,122.32","35,215.89"
08/02/2023,"35,551.92","35,551.92","35,226.26","35,282.52"
08/01/2023,"35,585.99","35,679.13","35,526.61","35,630.68"
07/31/2023,"35,465.97","35,566.95","35,430.22","35,559.53"
07/28/2023,"35,443.49","35,565.51","35,355.15","35,459.29"
07/27/2023,"35,558.79","35,645.35","35,216.58","35,282.72"
07/26/2023,"35,345.99","35,633.61","35,306.27","35,520.12"
07/25/2023,"35,421.49","35,527.57","35,365.26","35,438.07"
07/24/2023,"35,230.79","35,463.97","35,230.79","35,411.24"
07/21/2023,"35,274.32","35,340.66","35,186.05","35,227.69"
07/20/2023,"35,091.98","35,372.77","35,091.98","35,225.18"
07/19/2023,"34,991.21","35,234.05","34,991.21","35,061.21"
07/18/2023,"34,597.08","34,986.36","34,530.61","34,951.93"
07/17/2023,"34,499.74","34,665.15","34,418.72","34,585.35"
07/14/2023,"34,425.33","34,592.26","34,425.33","34,509.03"
07/13/2023,"34,412.31","34,482.26","34,365.33","34,395.14"
07/12/2023,"34,395.28","34,586.94","34,308.78","34,347.43"
07/11/2023,"34,056.94","34,288.87","33,993.01","34,261.42"
07/10/2023,"33,705.68","33,958.36","33,705.68","33,944.40"
07/07/2023,"33,837.07","34,036.38","33,716.75","33,734.88"
07/06/2023,"34,171.39","34,171.39","33,771.47","33,922.26"
07/05/2023,"34,344.72","34,376.11","34,226.98","34,288.64"
07/03/2023,"34,369.78","34,465.60","34,286.54","34,418.47"
06/30/2023,"34,269.92","34,467.35","34,269.92","34,407.60"
06/29/2023,"33,854.57","34,147.68","33,828.63","34,122.42"
06/28/2023,"33,881.38","33,903.76","33,755.92","33,852.66"
06/27/2023,"33,739.03","33,975.65","33,730.39","33,926.74"
06/26/2023,"33,730.79","33,819.49","33,610.32","33,714.71"
06/23/2023,"33,835.66","33,835.66","33,646.49","33,727.43"
06/22/2023,"33,900.47","34,003.56","33,835.39","33,946.71"
06/21/2023,"33,990.56","34,097.93","33,876.17","33,951.52"
06/20/2023,"34,206.66","34,206.66","33,915.93","34,053.87"
06/16/2023,"34,464.02","34,588.68","34,285.69","34,299.12"
06/15/2023,"33,945.98","34,488.98","33,945.98","34,408.06"
06/14/2023,"34,044.70","34,151.42","33,783.55","33,979.33"
06/13/2023,"34,111.08","34,310.28","34,107.98","34,212.12"
06/12/2023,"33,906.80","34,077.84","33,878.46","34,066.33"
06/09/2023,"33,852.44","33,975.32","33,787.16","33,876.78"
06/08/2023,"33,656.98","33,873.81","33,630.04","33,833.61"
06/07/2023,"33,562.47","33,708.78","33,546.11","33,665.02"
06/06/2023,"33,547.67","33,631.25","33,399.69","33,573.28"
06/05/2023,"33,771.13","33,804.22","33,552.79","33,562.86"
06/02/2023,"33,187.58","33,805.00","33,187.58","33,762.76"
06/01/2023,"32,929.85","33,167.75","32,704.51","33,061.57"
05/31/2023,"32,948.71","32,984.83","32,739.73","32,908.27"
05/30/2023,"33,103.65","33,132.70","32,893.97","33,042.78"
05/26/2023,"32,795.50","33,162.06","32,795.50","33,093.34"
05/25/2023,"32,854.26","32,870.43","32,586.56","32,764.65"
05/24/2023,"33,021.76","33,031.75","32,752.44","32,799.92"
05/23/2023,"33,190.60","33,310.17","33,013.29","33,055.51"
05/22/2023,"33,408.54","33,512.30","33,207.85","33,286.58"
05/19/2023,"33,582.95","33,652.90","33,336.66","33,426.63"
05/18/2023,"33,374.56","33,579.91","33,212.09","33,535.91"
05/17/2023,"33,092.48","33,472.38","33,050.41","33,420.77"
05/16/2023,"33,275.37","33,290.85","33,006.19","33,012.14"
05/15/2023,"33,321.21","33,400.30","33,161.93","33,348.60"
05/12/2023,"33,370.58","33,406.40","33,110.61","33,300.62"
05/11/2023,"33,383.89","33,389.88","33,127.70","33,309.51"
05/10/2023,"33,707.20","33,772.09","33,239.45","33,531.33"
05/09/2023,"33,589.85","33,656.40","33,509.72","33,561.81"
05/08/2023,"33,715.15","33,747.49","33,509.23","33,618.69"
05/05/2023,"33,248.55","33,748.43","33,248.55","33,674.38"
05/04/2023,"33,347.78","33,354.86","32,937.50","33,127.74"
05/03/2023,"33,726.64","33,811.84","33,396.05","33,414.24"
05/02/2023,"34,017.62","34,017.75","33,436.66","33,684.53"
05/01/2023,"34,116.81","34,257.83","34,030.14","34,051.70"
04/28/2023,"33,797.43","34,104.56","33,728.40","34,098.16"
04/27/2023,"33,381.66","33,859.75","33,374.65","33,826.16"
04/26/2023,"33,596.34","33,645.83","33,235.85","33,301.87"
04/25/2023,"33,828.34","33,875.49","33,525.39","33,530.83"
04/24/2023,"33,805.04","33,891.15","33,726.09","33,875.40"
04/21/2023,"33,793.60","33,858.83","33,688.57","33,808.96"
04/20/2023,"33,740.60","33,875.39","33,677.74","33,786.62"
04/19/2023,"33,889.83","33,957.98","33,814.65","33,897.01"
04/18/2023,"33,965.16","34,018.62","33,791.89","33,976.63"
04/17/2023,"33,930.46","33,991.23","33,796.91","33,987.18"
04/14/2023,"33,981.71","34,082.94","33,730.85","33,886.47"
04/13/2023,"33,668.97","34,054.99","33,605.17","34,029.69"
04/12/2023,"33,764.21","33,895.43","33,593.32","33,646.50"
04/11/2023,"33,586.75","33,781.29","33,586.75","33,684.79"
04/10/2023,"33,425.25","33,590.24","33,343.43","33,586.52"
04/06/2023,"33,420.96","33,525.96","33,325.37","33,485.29"
04/05/2023,"33,394.60","33,543.84","33,376.27","33,482.72"
04/04/2023,"33,594.79","33,634.72","33,275.62","33,402.38"
04/03/2023,"33,245.78","33,632.90","33,245.78","33,601.15"
03/31/2023,"32,901.96","33,291.00","32,901.96","33,274.15"
03/30/2023,"32,807.43","32,905.80","32,682.87","32,859.03"
03/29/2023,"32,566.54","32,728.04","32,539.94","32,717.60"
03/28/2023,"32,434.85","32,551.01","32,295.50","32,394.25"
03/27/2023,"32,276.72","32,564.00","32,276.72","32,432.08"
03/24/2023,"32,038.22","32,257.24","31,805.18","32,237.53"
03/23/2023,"32,101.49","32,511.49","31,864.74","32,105.25"
03/22/2023,"32,570.19","32,761.89","32,020.46","32,030.11"
03/21/2023,"32,420.71","32,593.68","32,346.12","32,560.60"
03/20/2023,"31,872.33","32,280.07","31,872.33","32,244.58"
03/17/2023,"32,217.32","32,217.32","31,728.70","31,861.98"
03/16/2023,"31,827.65","32,281.61","31,571.46","32,246.55"
03/15/2023,"31,759.87","31,906.47","31,429.82","31,874.57"
03/14/2023,"32,055.29","32,306.59","31,805.40","32,155.40"
03/13/2023,"31,819.93","32,240.35","31,624.87","31,819.14"
03/10/2023,"32,185.14","32,422.10","31,783.41","31,909.64"
03/09/2023,"32,876.83","32,990.46","32,190.60","32,254.86"
03/08/2023,"32,872.08","32,903.44","32,612.70","32,798.40"
03/07/2023,"33,428.31","33,453.25","32,838.21","32,856.46"
03/06/2023,"33,425.32","33,572.22","33,383.47","33,431.44"
03/03/2023,"33,076.33","33,405.82","33,008.41","33,390.97"
03/02/2023,"32,780.97","33,083.45","32,665.85","33,003.57"
03/01/2023,"32,656.37","32,746.15","32,500.71","32,661.84"
02/28/2023,"32,873.47","32,873.47","32,636.43","32,656.70"
02/27/2023,"32,906.16","33,189.28","32,814.18","32,889.09"
02/24/2023,"32,999.19","32,999.19","32,643.48","32,816.92"
02/23/2023,"33,175.39","33,272.40","32,795.67","33,153.91"
02/22/2023,"33,169.33","33,245.97","32,948.27","33,045.09"
02/21/2023,"33,699.69","33,699.69","33,115.74","33,129.59"
02/17/2023,"33,677.01","33,846.64","33,517.73","33,826.69"
02/16/2023,"33,992.09","34,041.16","33,686.59","33,696.85"
02/15/2023,"34,008.63","34,130.49","33,833.10","34,128.05"
02/14/2023,"34,194.09","34,331.47","33,827.45","34,089.27"
02/13/2023,"33,887.39","34,249.60","33,887.39","34,245.93"
02/10/2023,"33,671.54","33,897.31","33,591.99","33,869.27"
02/09/2023,"34,105.61","34,252.57","33,607.13","33,699.88"
02/08/2023,"34,132.90","34,161.65","33,899.79","33,949.01"
02/07/2023,"33,769.78","34,240.00","33,634.10","34,156.69"
02/06/2023,"33,874.44","33,962.84","33,683.58","33,891.02"
02/03/2023,"33,926.30","34,179.58","33,813.86","33,926.01"
02/02/2023,"34,129.30","34,145.14","33,814.78","34,053.94"
02/01/2023,"34,039.60","34,334.70","33,581.42","34,092.96"
01/31/2023,"33,803.56","34,095.23","33,664.91","34,086.04"
01/30/2023,"33,909.21","34,055.29","33,695.18","33,717.09"
01/27/2023,"33,952.93","34,164.33","33,830.85","33,978.08"
01/26/2023,"33,771.66","33,953.79","33,635.60","33,949.41"
